# ch4_haze aerosol extinction cross-section (Mie; r_eff=0.1 um)
# optical constants: CH4s_Martonchik.csv
# wavelength_Angstrom, sigma_cm2
3000.0, 7.508681e-10
3108.8, 7.101863e-10
3221.5, 6.644136e-10
3338.3, 6.137938e-10
3459.3, 5.586032e-10
3584.7, 4.993058e-10
3714.7, 4.365257e-10
3849.3, 3.711241e-10
3988.9, 3.041764e-10
4133.5, 2.802824e-10
4283.4, 2.609624e-10
4438.7, 2.425459e-10
4599.6, 2.250060e-10
4766.3, 2.083436e-10
4939.1, 1.926003e-10
5118.2, 1.777557e-10
5303.8, 1.637689e-10
5496.1, 1.506155e-10
5695.3, 1.382905e-10
5901.8, 1.267796e-10
6115.8, 1.160447e-10
6337.5, 1.060439e-10
6567.2, 9.674437e-11
6805.3, 8.812087e-11
7052.1, 8.014735e-11
7307.7, 7.278906e-11
7572.7, 6.600570e-11
7847.2, 5.975913e-11
8131.7, 5.401663e-11
8426.5, 4.874995e-11
8732.0, 4.393242e-11
9048.6, 3.953612e-11
9376.6, 3.553088e-11
9716.6, 3.188558e-11
10068.9, 2.859906e-11
10433.9, 2.572079e-11
10812.2, 2.309876e-11
11204.2, 2.071442e-11
11610.4, 1.856333e-11
12031.3, 1.658018e-11
12467.5, 1.478695e-11
12919.5, 1.317305e-11
13387.9, 1.172272e-11
13873.2, 1.042162e-11
14376.2, 9.291229e-12
14897.4, 8.289334e-12
15437.5, 7.394075e-12
15997.2, 6.594925e-12
16577.2, 5.882482e-12
17178.2, 5.138343e-12
17801.0, 4.475900e-12
18446.3, 4.186336e-12
19115.1, 3.979913e-12
19808.1, 3.814191e-12
20526.2, 3.684560e-12
21270.4, 3.586805e-12
22041.5, 3.517083e-12
22840.6, 3.471893e-12
23668.7, 2.978856e-12
24526.8, 9.001029e-12
25416.0, 1.456681e-11
26337.5, 1.989064e-11
27292.3, 2.498542e-11
28281.8, 2.986289e-11
29307.1, 3.453377e-11
30369.7, 3.900772e-11
31470.7, 4.329341e-11
32611.6, 4.739844e-11
33794.0, 1.513674e-11
35019.2, 3.538667e-12
36288.8, 2.006542e-12
37604.4, 4.606464e-12
38967.7, 7.162278e-12
40380.5, 9.677806e-12
41844.4, 1.215679e-11
43361.5, 1.460290e-11
44933.5, 1.701976e-11
46562.6, 1.941092e-11
48250.7, 2.177996e-11
50000.0, 2.413047e-11
