# h2so4 aerosol extinction cross-section (Mie; r_eff=1.0 um)
# optical constants: H2SO4_75_Palmer_1975.ri
# wavelength_Angstrom, sigma_cm2
3000.0, 7.080344e-08
3108.8, 6.981387e-08
3221.5, 7.103009e-08
3338.3, 7.004594e-08
3459.3, 7.146588e-08
3584.7, 7.057041e-08
3714.7, 7.179439e-08
3849.3, 7.092199e-08
3988.9, 7.175144e-08
4133.5, 7.226457e-08
4283.4, 7.221847e-08
4438.7, 7.333380e-08
4599.6, 7.232152e-08
4766.3, 7.390570e-08
4939.1, 7.341795e-08
5118.2, 7.404074e-08
5303.8, 7.423230e-08
5496.1, 7.469248e-08
5695.3, 7.498430e-08
5901.8, 7.528475e-08
6115.8, 7.604097e-08
6337.5, 7.617967e-08
6567.2, 7.730373e-08
6805.3, 7.741398e-08
7052.1, 7.876440e-08
7307.7, 7.884467e-08
7572.7, 8.047652e-08
7847.2, 8.032990e-08
8131.7, 8.238168e-08
8426.5, 8.218933e-08
8732.0, 8.431341e-08
9048.6, 8.429072e-08
9376.6, 8.638274e-08
9716.6, 8.649702e-08
10068.9, 8.851525e-08
10433.9, 8.871183e-08
10812.2, 9.062890e-08
11204.2, 9.097554e-08
11610.4, 9.256689e-08
12031.3, 9.290177e-08
12467.5, 9.418793e-08
12919.5, 9.449019e-08
13387.9, 9.533148e-08
13873.2, 9.546699e-08
14376.2, 9.584545e-08
14897.4, 9.573872e-08
15437.5, 9.565819e-08
15997.2, 9.511370e-08
16577.2, 9.448795e-08
17178.2, 9.358806e-08
17801.0, 9.232412e-08
18446.3, 9.095097e-08
19115.1, 8.914510e-08
19808.1, 8.715642e-08
20526.2, 8.481744e-08
21270.4, 8.225909e-08
22041.5, 7.914667e-08
22840.6, 7.595235e-08
23668.7, 7.220323e-08
24526.8, 6.798884e-08
25416.0, 6.248286e-08
26337.5, 5.632542e-08
27292.3, 4.760542e-08
28281.8, 4.395656e-08
29307.1, 4.677372e-08
30369.7, 4.739281e-08
31470.7, 4.834989e-08
32611.6, 5.033685e-08
33794.0, 5.251722e-08
35019.2, 5.384569e-08
36288.8, 5.347795e-08
37604.4, 5.135186e-08
38967.7, 4.927802e-08
40380.5, 4.778604e-08
41844.4, 4.594663e-08
43361.5, 4.232849e-08
44933.5, 4.054539e-08
46562.6, 3.882099e-08
48250.7, 3.624190e-08
50000.0, 3.365399e-08
