# mars_dust aerosol extinction cross-section (Mie; r_eff=0.25 um)
# optical constants: sand_koepke_1997.ri
# wavelength_Angstrom, sigma_cm2
3000.0, 5.496944e-09
3108.8, 5.559978e-09
3221.5, 5.629719e-09
3338.3, 5.696363e-09
3459.3, 5.764011e-09
3584.7, 5.828947e-09
3714.7, 5.885220e-09
3849.3, 5.944546e-09
3988.9, 5.989029e-09
4133.5, 6.041482e-09
4283.4, 6.071996e-09
4438.7, 6.114053e-09
4599.6, 6.121430e-09
4766.3, 6.139729e-09
4939.1, 6.123481e-09
5118.2, 6.123457e-09
5303.8, 6.088296e-09
5496.1, 6.067624e-09
5695.3, 6.003744e-09
5901.8, 5.954771e-09
6115.8, 5.864602e-09
6337.5, 5.787403e-09
6567.2, 5.674600e-09
6805.3, 5.574875e-09
7052.1, 5.443345e-09
7307.7, 5.320879e-09
7572.7, 5.172391e-09
7847.2, 5.031676e-09
8131.7, 4.870323e-09
8426.5, 4.713975e-09
8732.0, 4.542367e-09
9048.6, 4.375374e-09
9376.6, 4.196617e-09
9716.6, 4.022430e-09
10068.9, 3.840535e-09
10433.9, 3.662123e-09
10812.2, 3.480571e-09
11204.2, 3.303325e-09
11610.4, 3.124549e-09
12031.3, 2.950531e-09
12467.5, 2.779228e-09
12919.5, 2.612029e-09
13387.9, 2.448355e-09
13873.2, 2.290086e-09
14376.2, 2.137923e-09
14897.4, 1.991130e-09
15437.5, 1.850170e-09
15997.2, 1.715160e-09
16577.2, 1.587194e-09
17178.2, 1.466121e-09
17801.0, 1.351733e-09
18446.3, 1.243919e-09
19115.1, 1.142414e-09
19808.1, 1.047436e-09
20526.2, 9.574967e-10
21270.4, 8.738497e-10
22041.5, 7.966439e-10
22840.6, 7.254588e-10
23668.7, 6.600124e-10
24526.8, 6.001184e-10
25416.0, 5.533617e-10
26337.5, 5.200499e-10
27292.3, 4.905863e-10
28281.8, 4.645585e-10
29307.1, 4.415910e-10
30369.7, 4.038673e-10
31470.7, 3.368555e-10
32611.6, 2.867617e-10
33794.0, 2.507991e-10
35019.2, 2.220705e-10
36288.8, 1.889912e-10
37604.4, 1.593511e-10
38967.7, 1.356191e-10
40380.5, 1.163540e-10
41844.4, 1.053532e-10
43361.5, 9.561192e-11
44933.5, 8.699079e-11
46562.6, 8.286852e-11
48250.7, 7.991465e-11
50000.0, 7.784882e-11
