# tholin aerosol extinction cross-section (Mie; r_eff=0.05 um)
# optical constants: Titan_tholin.dat
# wavelength_Angstrom, sigma_cm2
3000.0, 1.227664e-10
3108.8, 1.149075e-10
3221.5, 1.071995e-10
3338.3, 9.968344e-11
3459.3, 9.227733e-11
3584.7, 8.582439e-11
3714.7, 8.129976e-11
3849.3, 7.754002e-11
3988.9, 7.360668e-11
4133.5, 6.978846e-11
4283.4, 6.618269e-11
4438.7, 6.158088e-11
4599.6, 5.592247e-11
4766.3, 5.044103e-11
4939.1, 4.519439e-11
5118.2, 4.024228e-11
5303.8, 3.564806e-11
5496.1, 3.147855e-11
5695.3, 2.779218e-11
5901.8, 2.448638e-11
6115.8, 2.150731e-11
6337.5, 1.883855e-11
6567.2, 1.646457e-11
6805.3, 1.437313e-11
7052.1, 1.253974e-11
7307.7, 1.090519e-11
7572.7, 9.455959e-12
7847.2, 8.183267e-12
8131.7, 7.076456e-12
8426.5, 6.121496e-12
8732.0, 5.302148e-12
9048.6, 4.592031e-12
9376.6, 3.972888e-12
9716.6, 3.439855e-12
10068.9, 2.987913e-12
10433.9, 2.605762e-12
10812.2, 2.271916e-12
11204.2, 1.978862e-12
11610.4, 1.720100e-12
12031.3, 1.493407e-12
12467.5, 1.290010e-12
12919.5, 1.109465e-12
13387.9, 9.561483e-13
13873.2, 8.298041e-13
14376.2, 7.212672e-13
14897.4, 6.268817e-13
15437.5, 5.448659e-13
15997.2, 4.736431e-13
16577.2, 4.118231e-13
17178.2, 3.581837e-13
17801.0, 3.116534e-13
18446.3, 2.713336e-13
19115.1, 2.365925e-13
19808.1, 2.099656e-13
20526.2, 1.865876e-13
21270.4, 1.664199e-13
22041.5, 1.479623e-13
22840.6, 1.289203e-13
23668.7, 1.111750e-13
24526.8, 1.184659e-13
25416.0, 1.217606e-13
26337.5, 1.286264e-13
27292.3, 2.512336e-13
28281.8, 6.490405e-13
29307.1, 1.321138e-12
30369.7, 1.589124e-12
31470.7, 1.336902e-12
32611.6, 1.059511e-12
33794.0, 8.016470e-13
35019.2, 5.797321e-13
36288.8, 4.049047e-13
37604.4, 3.020322e-13
38967.7, 2.331681e-13
40380.5, 1.881301e-13
41844.4, 1.584697e-13
43361.5, 1.566246e-13
44933.5, 2.041557e-13
46562.6, 3.478904e-13
48250.7, 1.642796e-13
50000.0, 1.118040e-13
